zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,sqft,value_sqft,lot_sqft,year_built,last_sold_date,last_sold_price
241938398.0,14650 Graef Road,78610,30.062951,-97.756852,306722.0,-1675.0,340461.0,272983.0,1536.0,199.69,3920400.0,2016.0,,
29369287.0,11607 Buttonwood Drive,78759,30.421674,-97.758291,429773.0,-1918.0,451262.0,408284.0,2107.0,203.97,10189.0,1983.0,,
144352326.0,4210 Turnersville Road,78610,30.079349,-97.751428,232395.0,6711.0,267254.0,190564.0,1216.0,191.11,130244.0,1985.0,,
29476395.0,2713 La Mesa Drive,78704,30.236226000000002,-97.76074399999999,398949.0,8658.0,430865.0,371023.0,960.0,415.57,7954.0,1950.0,,
29471307.0,11104 FM 1625,78719,30.106782,-97.728461,319987.0,6138.0,374385.0,268789.0,1344.0,238.09,784080.0,1973.0,,
29373242.0,14609 Pocohontas Trail,78641,30.427832000000002,-97.892225,1008422.0,15966.0,1200022.0,816822.0,984.0,1024.82,230737.0,1950.0,,
80106642.0,19600 Moorlynch Avenue,78660,30.465384999999998,-97.57164399999999,312055.0,-1186.0,327658.0,296452.0,2407.0,129.64,8145.0,2010.0,,
29510145.0,10103 Lindshire Lane,78748,30.176059000000002,-97.839972,298417.0,-1346.0,313338.0,280512.0,1647.0,181.19,8054.0,1983.0,,
63836088.0,11502 Lapoynor Street,78653,30.336266,-97.56281899999999,196025.0,2414.0,205826.0,186224.0,1611.0,121.68,6000.0,2004.0,05/23/2018,
89651203.0,3056 Agave Loop,78681,30.539524,-97.718911,440597.0,-917.0,462627.0,418567.0,3363.0,131.01,,2012.0,,
80104507.0,4513 Rapid Springs Cove East,78746,30.321479999999998,-97.786464,1758996.0,17377.0,1952486.0,1671046.0,5719.0,307.57,50438.0,2006.0,,
29363413.0,8300 Elander Drive,78750,30.392491999999997,-97.80279,814622.0,-27961.0,855353.0,773891.0,5308.0,153.47,13634.0,1993.0,05/27/2014,645000.0
2124015951.0,905 West Howard Lane,78728,30.417733000000002,-97.66532600000001,262149.0,2176.0,293607.0,217584.0,1201.0,218.28,,2011.0,,
29479690.0,10000 Hillside North,78736,30.236451000000002,-97.952955,427923.0,-14.0,449319.0,402248.0,2216.0,193.11,32670.0,1978.0,,
83824739.0,3509 Kelly Lane,78660,30.458595000000003,-97.570808,387623.0,3707.0,422509.0,364366.0,2876.0,134.78,435600.0,1991.0,,
