alat,alon,year_built
30.410578,-97.766174,1983
30.362067,-97.999821,1970
30.293766,-97.62763,1985
30.244136,-97.900865,2003
30.339805,-97.80931,2005
30.461332,-97.772676,1985
30.538429,-97.856247,2005
30.150283,-97.738471,2005
30.513339,-97.589926,2012
30.325957,-97.868074,1982
30.174811,-97.813559,1982
30.177284,-97.701952,1999
30.478115,-97.557219,2016
30.311862,-97.870637,1988
30.232639,-97.939221,2015
30.393841,-97.616204,2013
30.286392,-97.887763,2012
30.549644,-97.66643,1995
30.158227,-97.553181,1992
30.42227,-97.69466,1981
30.177514,-97.840077,1985
30.524671,-97.795581,2007
30.521171,-97.850679,1996
30.135521,-97.779767,1998
30.279557,-97.865971,1983
30.363009,-97.468072,2004
30.396365,-97.694606,1985
30.168345,-97.846152,2007
30.437718,-97.913256,1981
30.328657,-97.760622,1951
30.392652,-97.881063,1997
30.270512,-98.020943,1923
30.136574,-97.574036,1986
30.309278,-97.83536,1982
30.37528,-97.559082,2003
30.208195,-97.848386,1991
30.422442,-97.640613,2003
30.301244,-97.835973,1991
30.40864,-97.913478,1965
30.058936,-97.680894,1970
30.172802,-97.874327,2000
30.4017,-97.600679,2002
30.471315,-97.639687,1999
30.172883,-97.543529,2005
30.103854,-97.673028,1960
30.170475,-97.831928,1956
30.447298,-97.905572,2000
30.472438,-97.589613,2003
30.199297,-97.742478,1976
30.427331,-97.546502,1900
30.384052,-97.756715,1979
30.298191,-97.891887,1985
30.48634,-97.901771,1997
30.328302,-97.744701,1950
30.435047,-97.709111,1970
30.291916,-97.883405,1992
30.452407,-97.838478,1975
30.369269,-97.988523,1968
30.263774,-97.56856,2000
30.33966,-97.850086,1998
30.306591,-97.860487,1996
30.254794,-97.829562,1996
30.236803,-97.807624,1963
30.137981,-97.553513,1986
30.492667,-97.844558,2004
30.359234,-97.543432,2008
30.528505,-97.650641,1994
30.30513,-97.845761,1989
30.344447,-97.978652,2007
30.388711,-97.998208,1999
30.261932,-97.662189,1968
30.377104,-97.970109,1994
30.13421,-97.825003,1975
30.350434,-97.88703,2011
30.303021,-97.95688,1996
30.300237,-97.782278,1996
30.365046,-97.837066,2003
30.294324,-97.873679,2004
30.455213,-97.616218,1994
30.480393,-97.812544,2007
30.245868,-97.974538,1985
30.50308,-97.62168,2004
30.239275,-97.981226,2007
30.328605,-97.925943,2000
30.442017,-97.941287,2007
30.261133,-97.806735,1981
30.426164,-97.903098,2009
