,Offense Desc,Offense Category,Address,lat,lng,Severity
2178,THEFT                         ,Theft,12443 TECH RIDGE BLVD 78753,30.3980577,-97.6636831,1
2179,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,12101 DESSAU RD 78754,30.3811525,-97.6491769,4
2180,BURGLARY OF VEHICLE           ,Theft,6835 AUSTIN CENTER BLVD 78731,30.3512728,-97.750413,3
2181,THEFT FROM PERSON             ,Theft,MC KIE DR / CAMERON RD 78752,30.3290729,-97.6904427,1
2182,AGG ROBBERY/DEADLY WEAPON     ,Robbery,1007 RUTLAND DR 78758,30.3671722,-97.7010182,5
2183,BURGLARY OF RESIDENCE         ,Burglary,4701 S IH 35 SVRD NB 78744,30.208139,-97.75536,2
2184,MURDER                        ,Murder,306 E POWELL LN 78753,30.3465937,-97.7004962,7
2185,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,1881 GROVE BLVD 78741,30.2286113,-97.7065828,4
2186,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,11701 LANSDOWNE RD 78754,30.355266,-97.6128831,4
2187,RAPE                          ,Rape,,37.2256055,-95.7162018,6
2188,AUTO THEFT                    ,Auto Theft,8912 N LAMAR BLVD 78758,30.3584813,-97.6999072,3
2189,AUTO THEFT                    ,Auto Theft,10705 DINAH DR 78748,30.1655881,-97.8342244,3
2190,AUTO THEFT                    ,Auto Theft,5230 THUNDER CREEK RD 78759,30.41668,-97.744142,3
2191,AUTO THEFT                    ,Auto Theft,6502 WOODHUE DR 78745,30.2036115,-97.7970099,3
2192,BURGLARY NON RESIDENCE        ,Burglary,1015 E 32ND ST 78705,30.2892745,-97.7245698,2
2193,BURGLARY NON RESIDENCE        ,Burglary,2900 CENTURY PARK BLVD 78727,30.4350529,-97.6946846,2
2194,BURGLARY NON RESIDENCE        ,Burglary,5112 S 1ST ST 78745,30.2138263,-97.7785945,2
2195,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,11607 SIERRA NEVADA 78759,30.4202998,-97.7545535,4
2196,RAPE                          ,Rape,,37.2256055,-95.7162018,6
2197,BURGLARY OF VEHICLE           ,Theft,7500 S IH 35 SVRD SB 78745,30.1827046,-97.7773174,3
2198,THEFT                         ,Theft,12900 N IH 35 SB 78753,30.4134351,-97.6763078,1
2199,BURGLARY OF RESIDENCE         ,Burglary,5915 IDLEWOOD CV 78745,30.2028317,-97.7769663,2
2200,THEFT OF LICENSE PLATE        ,Theft,1100 LILY TER 78741,30.2345422,-97.702108,1
2201,THEFT BY SHOPLIFTING          ,Theft,9607 RESEARCH BLVD NB 78759,30.388832,-97.740726,1
2202,BURGLARY NON RESIDENCE        ,Burglary,2502 SAN ANTONIO ST 78705,30.2893561,-97.7424978,2
2203,BURGLARY OF RESIDENCE         ,Burglary,4521 MATTIE ST 78723,30.2977774,-97.7026922,2
2204,THEFT                         ,Theft,5401 N IH 35 SVRD NB 78723,30.3155433,-97.7078362,1
2205,THEFT BY SHOPLIFTING          ,Theft,11200 LAKELINE MALL DR 78613,30.4703854,-97.806965,1
2206,DEADLY CONDUCT                ,Agg Assault,NUCKOLS CROSSING RD / E STASSNEY LN 78744,30.1931491,-97.7389226,4
2207,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,907 CHOTE AVE 78702,30.2606697,-97.6973577,4
2208,THEFT BY SHOPLIFTING          ,Theft,10107 RESEARCH BLVD NB 78759,30.3927847,-97.7439653,1
2209,THEFT                         ,Theft,2600 GUADALUPE ST 78705,30.2906868,-97.7417668,1
2210,RAPE OF A CHILD               ,Rape,,37.2256055,-95.7162018,6
2211,BURGLARY OF VEHICLE           ,Theft,4611 CREEK BEND DR 78744,30.1843905,-97.7516651,3
2212,THEFT BY SHOPLIFTING          ,Theft,1420 W WELLS BRANCH PKWY 78660,30.4412782,-97.6633098,1
2213,BURGLARY OF RESIDENCE         ,Burglary,7077 GRAND CANYON DR 78752,30.3269638,-97.6945332,2
2214,THEFT BY SHOPLIFTING          ,Theft,5017 W US 290 HWY SVRD EB 78749,30.232181,-97.823273,1
2215,BURGLARY OF RESIDENCE         ,Burglary,8001 GESSNER DR 78753,30.343349,-97.7020019,2
2216,BURGLARY OF RESIDENCE         ,Burglary,7502 BENNETT AVE 78752,30.334715,-97.69851,2
2217,RAPE                          ,Rape,,37.2256055,-95.7162018,6
2218,BURGLARY OF RESIDENCE         ,Burglary,1804 W 37TH ST 78731,30.3102601,-97.7524291,2
2219,THEFT BY SHOPLIFTING          ,Theft,8201 N FM 620 RD 78726,30.416521,-97.8430849,1
2220,THEFT BY SHOPLIFTING          ,Theft,2508 E RIVERSIDE DR 78741,30.2364302,-97.7221515,1
2221,BURGLARY OF RESIDENCE         ,Burglary,2506 SPRING CREEK DR 78704,30.2607121,-97.7769238,2
2222,AUTO THEFT                    ,Auto Theft,9245 VIGEN CIR 78748,30.168972,-97.7947589,3
2223,BURGLARY OF RESIDENCE         ,Burglary,1300 S PLEASANT VALLEY RD 78741,30.24047,-97.719682,2
2224,BURGLARY OF VEHICLE           ,Theft,501 W OLTORF ST 78704,30.241217,-97.7582442,3
2225,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,1819 S PLEASANT VALLEY RD 78741,30.2341965,-97.7204119,4
2226,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,8001 GESSNER DR 78753,30.343349,-97.7020019,4
2227,THEFT BY SHOPLIFTING          ,Theft,2508 E RIVERSIDE DR 78741,30.2364302,-97.7221515,1
2228,BURGLARY OF VEHICLE           ,Theft,9333 RESEARCH BLVD SVRD NB 78759,30.3849103,-97.7411476,3
2229,THEFT                         ,Theft,2803 MANOR RD 78722,30.2849527,-97.7120548,1
2230,BURGLARY OF VEHICLE           ,Theft,6818 AUSTIN CENTER BLVD 78731,30.3504761,-97.7517712,3
